@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric

@data
3876,'2017/06/28 12:14:06:279',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3877,'2017/06/28 12:14:06:295',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3878,'2017/06/28 12:14:06:312',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3879,'2017/06/28 12:14:06:328',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3880,'2017/06/28 12:14:06:345',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3881,'2017/06/28 12:14:06:361',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3882,'2017/06/28 12:14:06:381',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3883,'2017/06/28 12:14:06:394',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3884,'2017/06/28 12:14:06:412',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3885,'2017/06/28 12:14:06:430',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3886,'2017/06/28 12:14:06:446',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
3887,'2017/06/28 12:14:06:462',67,1023,1023,0,0,0,0,0,0.52,1,0,0,0,0,0,0,0
